time_s,contact_force_N
0.000,0.00000
0.005,0.00000
0.010,0.00000
0.015,0.00000
0.020,0.00000
0.025,0.00000
0.030,0.00000
0.035,0.00000
0.040,0.00000
0.045,0.00000
0.050,0.00000
0.055,0.00000
0.060,0.00000
0.065,0.00000
0.070,0.00000
0.075,0.00000
0.080,0.00000
0.085,0.00000
0.090,0.00000
0.095,0.00000
0.100,0.00000
0.105,0.00000
0.110,0.00000
0.115,0.00000
0.120,0.00000
0.125,0.00000
0.130,0.00000
0.135,0.00000
0.140,0.00000
0.145,0.00000
0.150,0.00000
0.155,0.00000
0.160,0.00000
0.165,0.00000
0.170,0.00000
0.175,0.00000
0.180,0.00000
0.185,0.00000
0.190,0.00000
0.195,0.00000
0.200,0.00000
0.205,0.00000
0.210,0.00000
0.215,0.00000
0.220,0.00000
0.225,0.00000
0.230,0.00000
0.235,0.00000
0.240,0.00000
0.245,0.00000
0.250,0.00000
0.255,0.00000
0.260,0.00000
0.265,0.00000
0.270,0.00000
0.275,0.00000
0.280,0.00000
0.285,0.00000
0.290,0.00000
0.295,0.00000
0.300,0.00000
0.305,0.00000
0.310,0.00000
0.315,0.00000
0.320,0.00000
0.325,0.00000
0.330,0.00000
0.335,0.00000
0.340,0.00000
0.345,0.00000
0.350,0.00000
0.355,0.00000
0.360,0.00000
0.365,0.00000
0.370,0.00000
0.375,0.00000
0.380,0.00000
0.385,0.00000
0.390,0.00000
0.395,0.00000
0.400,0.00000
0.405,0.00000
0.410,0.00000
0.415,0.00000
0.420,35.14006
0.425,44.78631
0.430,57.11213
0.435,72.49346
0.440,91.16815
0.445,113.15450
0.450,138.17552
0.455,165.60530
0.460,194.45363
0.465,223.40196
0.470,250.89571
0.475,275.28775
0.480,295.01618
0.485,308.79039
0.490,315.75454
0.495,315.59962
0.500,308.60334
0.505,295.59042
0.510,277.82072
0.515,256.82591
0.520,234.22359
0.525,211.53969
0.530,190.06520
0.535,170.76396
0.540,154.23697
0.545,140.73783
0.550,130.22663
0.555,122.44579
0.560,117.00165
0.565,113.43918
0.570,111.30128
0.575,110.16979
0.580,109.68844
0.585,109.57120
0.590,109.60015
0.595,109.61719
0.600,109.51300
0.605,109.21598
0.610,108.68224
0.615,107.88766
0.620,106.82185
0.625,105.48382
0.630,103.87911
0.635,102.01777
0.640,99.91321
0.645,97.58125
0.650,95.03963
0.655,92.30758
0.660,89.40543
0.665,86.35433
0.670,83.17600
0.675,79.89243
0.680,76.52561
0.685,73.09735
0.690,69.62899
0.695,66.14122
0.700,62.65387
0.705,59.18577
0.710,55.75454
0.715,52.37654
0.720,49.06672
0.725,0.00000
0.730,0.00000
0.735,0.00000
0.740,0.00000
0.745,0.00000
0.750,0.00000
0.755,0.00000
0.760,0.00000
0.765,0.00000
0.770,0.00000
0.775,0.00000
0.780,0.00000
0.785,0.00000
0.790,0.00000
0.795,0.00000
0.800,0.00000
0.805,0.00000
0.810,0.00000
0.815,0.00000
0.820,0.00000
0.825,0.00000
0.830,0.00000
0.835,0.00000
0.840,0.00000
0.845,0.00000
0.850,0.00000
0.855,0.00000
0.860,0.00000
0.865,0.00000
0.870,0.00000
0.875,0.00000
0.880,0.00000
0.885,0.00000
0.890,0.00000
0.895,0.00000
0.900,0.00000
0.905,0.00000
0.910,0.00000
0.915,0.00000
0.920,0.00000
0.925,0.00000
0.930,0.00000
0.935,0.00000
0.940,0.00000
0.945,0.00000
0.950,0.00000
0.955,0.00000
0.960,0.00000
0.965,0.00000
0.970,0.00000
0.975,0.00000
0.980,0.00000
0.985,0.00000
0.990,0.00000
0.995,0.00000
1.000,0.00000
